Author	Treatment	Cause	PMID Count	PMIDs
Jae Youl Cho	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 8: Estrogen-Regulated Autophagy and miRNA Networks in Endometriosis-Related COPD Pathogenesis	3	34771068;33035507;34065429
Mahdi Mahmoudi	COPD Treatment Cluster 17: Targeting TL1A-DR3 Signaling and IRAK4 Activity for Inflammatory Control in COPD and RA	COPD Cause Cluster 9: Joint Inflammation and Oxidative Stress as Contributing Factors to COPD Pathogenesis in Rheumatoid Arthritis Patients	3	34418899;37370181;36350424
Duanyong Liu	COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 11: Gut-Respiratory Axis: Inflammatory Disorders and Immune Dysregulation in COPD Pathogenesis	3	33462754;39642569;34543978
Russel J Reiter	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	3	32217117;35108568;32847033
Francesco Ferrara	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	3	33443616;32594204;34255300
Antonio Vitiello	COPD Treatment Cluster 38: Multifaceted Antiviral and Immunomodulatory Strategies for COVID-19 in COPD Patients	COPD Cause Cluster 12: Viral-Induced Hypercoagulability and Inflammatory Pathways to COPD Exacerbation and Tissue Damage	3	33443616;32594204;34255300
Ana Lúcia S Rodrigues	COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 14: Psychological Stress and Neuroinflammatory Pathways in COPD Exacerbation and Progression	3	38474387;34089815;32399718
Zhiping Zhang	COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 16: Unveiling Novel Targets and Immune Mechanisms in COPD Pathogenesis: From Muscle Metabolism to Macrophage Polarization	3	39695736;38508529;36037505
Nan Cai	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	3	39255608;39675096;38761708
Jingping Qu	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	3	39255608;39675096;38761708
Yuhan Zhou	COPD Treatment Cluster 30: Targeting Inflammatory Pathways with PPARγ Modulators and P2Y6 Antagonists for COPD Treatment	COPD Cause Cluster 17: Eicosanoid Dysregulation and Cox Inhibition: Unveiling the Complex Links between COPD and Cardiovascular, Gastrointestinal, and Metabolic Disorders	3	39255608;39675096;38761708
Yan Wang	COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 20: Lipid Dysregulation and Inflammation in Atherosclerosis-Related COPD Etiology and Progression	3	34900083;32569018;38325261
Jacek M Kwiecien	COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	3	33550977;32191733;33108666
Alistair J Gunn	COPD Treatment Cluster 4: Neuroinflammatory Therapies for COPD with Concurrent Neurodegenerative Manifestations	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	3	37864272;33924540;39095095
Yun Xu	COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	3	36058290;39009094;32681941
Silvia Lima Costa	COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	3	40076239;32272581;38921546
Yue Hou	COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	3	33007731;38493721;33352239
Dariush Haghmorad	COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 21: Neuroinflammatory Pathways in COPD: Intersection of Systemic Inflammation and Neurological Dysfunction	3	38302802;36214710;38563150
Qing-Feng Pang	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 23: Hormetic Regulation of Oxidative Stress and Inflammatory Pathways in COPD and Related Ischemic Diseases	3	33249045;34417573;33293260
Stefanie Widder	COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 24: Respiratory-Gut Axis Dysbiosis and Cross-Kingdom Interactions in COPD Microbiome Complexity	3	38562856;37546739;38849369
Xiangzhen Shen	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 26: Epigenetic and Inflammatory Regulation of Oxidative Stress and Nitric Oxide Production in COPD Pathogenesis	3	36334371;34160729;36243161
Chiung-Mei Chen	COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	3	33494411;38320719;33196459
Guey-Jen Lee-Chen	COPD Treatment Cluster 27: Neuroinflammatory Mechanisms and Therapeutic Interventions in COPD-Associated Neurodegeneration	COPD Cause Cluster 27: Neuroinflammatory Pathways in COPD Development: Shared Mechanisms with Neurodegenerative Conditions	3	33494411;38320719;33196459
Xiaolei Zhang	COPD Treatment Cluster 12: Converging Pathways in Osteoarthritis and COPD for Chondroprotective Therapy Development	COPD Cause Cluster 28: Inflammatory Pathways Linking Osteoarthritis and COPD: Shared Mechanisms of Cartilage Destruction and Matrix Degradation	3	33169745;33517187;33241814
Masami Taniguchi	COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 30: Modulating Bronchial Inflammation in Cystic Fibrosis-Related COPD: Environmental, Genetic, and Therapeutic Interactions	3	35764285;32142372;39419650
Fatemeh Yarmohammadi	COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 31: Cardiac Dysfunction and Inflammation: A Novel Link to COPD Pathogenesis and Comorbidity	3	38850306;34350498;33666716
Qixiao Zhai	COPD Treatment Cluster 19: Gut-Lung Axis Dysregulation in COPD Exacerbations: Therapeutic Opportunities from Intestinal Barrier Modulation	COPD Cause Cluster 33: Gut Microbiota Dysbiosis and Intestinal Immune Homeostasis Disruption in COPD Pathogenesis	3	37953676;33900330;32522964
Der-Chen Chang	COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	3	35565961;34681651;34361003
Jia-You Fang	COPD Treatment Cluster 8: Targeting Psoriasis-Related Pathways for Inflammatory Control in COPD	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	3	38159374;32220586;36008966
Kerstin Wolk	COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 34: Skin Barrier Dysfunction and Inflammation as Potential Contributors to COPD Etiology and Progression	3	37715694;37824200;32165620
Gabriele De Rubis	COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	38761875;39348749;38603841
Kamal Dua	COPD Treatment Cluster 5: Photothermal Nanotherapies for Inflammatory Cell Ablation in COPD	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	38761875;39348749;38603841
Xiaoju Liu	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	38573590;33590951;40007378
Reinoud Gosens	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	35319981;34463851;35439594
Norbert Weissmann	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	33760647;32694733;37219322
Noel G McElvaney	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	32060059;39137524;32197047
Venkataramana K Sidhaye	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	37976469;36223404;33174444
Kamal Dua	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	37917370;36176212;37734525
Jonathan R Baker	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	32057805;35763349;34354348
Louise E Donnelly	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	32057805;35763349;34354348
Dan Mei	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	33017650;36167278;32434654
Fang Wang	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	39456887;32278128;39786888
Jungang Xie	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	33949204;38587806;35035670
Yan Chen	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	35523108;32021140;40195669
Dian-Lei Wang	COPD Treatment Cluster 33: Senolytic Therapies for Regenerating Lung Tissue and Resolving COPD Pathology	COPD Cause Cluster 36: Elucidating the Complex Genetic and Epithelial Mechanisms Underlying COPD Susceptibility and Progression	3	34802946;36996530;32281359
Yi Wang	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	3	36566563;38149576;34737421
Zhishan Ding	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	3	36182735;39909274;38936586
Fangmei Zhou	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	3	36182735;39909274;38936586
Jesse Roth	COPD Treatment Cluster 28: Pharmacological Modulation of Inflammatory Pathways in COPD and Asthma	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	3	34589085;35572539;37266425
Jaechan Leem	COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 37: Acute Lung Injury and Inflammatory Dysregulation as Precursors to COPD Progression and Exacerbation	3	33488946;36985731;33287398
Yunxia Li	COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	3	37219693;38959553;33068590
Suvesh Munakarmi	COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	3	32192079;37511015;39437640
Yeon Jun Jeong	COPD Treatment Cluster 20: Hepatoprotective Strategies and Immunomodulatory Therapies for Inflammatory Liver Damage and COPD	COPD Cause Cluster 38: Liver Damage, Inflammation, and Fibrogenesis as Systemic Consequences in COPD Pathogenesis	3	32192079;37511015;39437640
Toru Maruyama	COPD Treatment Cluster 29: Renal Protective Therapies in COPD: Targeting Inflammatory Pathways for Kidney Preservation	COPD Cause Cluster 39: Renal Dysfunction and Inflammation as Critical Modulators of COPD Pathogenesis and Exacerbation Risk	3	32764271;33846468;33244034
Liliana Lykowska-Szuber	COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	2	37577818;37658984
Marzena Skrzypczak-Zielinska	COPD Treatment Cluster 7: Gut-Specific Therapies for Inflammatory Bowel Disease-Like Conditions in COPD Management	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	2	37577818;37658984
Hong Wu	COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	2	36511097;34643255
Akio Morinobu	COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	2	35266034;38956271
Elena Rezus	COPD Treatment Cluster 11: TNF Inhibitors as Therapeutic Targets for Inflammatory COPD with Autoimmune Components	COPD Cause Cluster 1: TNF Inhibition and Modulation of COPD Inflammatory Profiles in Complex Comorbidities	2	39000125;37833861
Gabriella Gálffy	COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	36824288;39701396
Alpár Horváth	COPD Treatment Cluster 3: Innovative Inhaler Design and Therapy Management for Enhanced COPD and Asthma Control	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	36824288;39701396
Peter D Wagner	COPD Treatment Cluster 21: Virtual Reality-Augmented Tele-Rehabilitation for Enhanced Pulmonary Function and Exercise Capacity in COPD	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	35819698;33446612
Michael Dreher	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	32800204;38502257
Georg Nilius	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	35085029;36633864
Stanislav Tatkov	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	35085029;36633864
Laura Tregidgo	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	38989047;38382181
Rebecca F D'Cruz	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	38989047;38382181
Murali Shyamsundar	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	33419742;34621510
Anita Saigal	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	38112122;34726941
Amar J Shah	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	38112122;34726941
Swapna Mandal	COPD Treatment Cluster 31: Optimizing NIV and HFNC Strategies for COPD Patients with Respiratory Acidosis and Hypercapnia	COPD Cause Cluster 2: Interplay between Occupational Hazards and Respiratory Mechanics in COPD Pathophysiology	2	38112122;34726941
James W Dodd	COPD Treatment Cluster 6: Multimodal Diagnostic and Therapeutic Approaches for Enhanced COPD Management and Prognostication	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	2	38803869;39250789
Yiming Ma	COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	2	34113250;40303489
Yan Chen	COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	2	34113250;40303489
Mark T Dransfield	COPD Treatment Cluster 22: Precision Therapies for Eosinophilic COPD: Combining Biologics, Vaccines, and Nutritional Interventions for Exacerbation Prevention and Improved Outcomes	COPD Cause Cluster 3: Environmental and Inflammatory Modulators of Acute COPD Exacerbation Risk and Severity	2	34856338;37946165
Qun Zhao	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	2	37003639;32989235
Yong Hwan Park	COPD Treatment Cluster 23: Targeting the NLRP3 Inflammasome and NF-κB Pathways in COPD with Natural Compounds and Small Molecules	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	2	38668995;38433281
Antonio Abbate	COPD Treatment Cluster 25: Cardioprotective Strategies in COPD: Targeting Atherosclerosis and Cardiometabolic Disease	COPD Cause Cluster 4: NLRP3 Inflammasome-Mediated Inflammatory Dysregulation in COPD Pathogenesis and Therapeutic Targets	2	32324502;33235030
